# Time                 	totalLift              	frontLift              	rearLift               	drag                   	side                   	Xmoment                	Ymoment                	Zmoment                
0.0021	3.0683648733868546e-01	3.2472274256613254e-01	-1.7886255227447106e-02	3.3298474184394711e-01	1.8459340311172522e-04	-2.1654640578116660e-05	1.7130449889678984e-01	-4.1211555346371844e-05
0.0022	3.1175911727853284e-01	3.2874510177813598e-01	-1.6985984499603146e-02	3.3487993012984069e-01	1.6449192913226663e-04	-1.8893739009767691e-05	1.7286554313886957e-01	-3.6336700071943327e-05
0.0023	3.1607240736883568e-01	3.3212156657649305e-01	-1.6049159207657399e-02	3.3670192387638426e-01	1.7803253474384350e-04	-1.8192465976702863e-05	1.7408536289207524e-01	-4.3648943690697532e-05
0.0024	3.2027563575799428e-01	3.3559745112257588e-01	-1.5321815364581604e-02	3.3822122405138705e-01	1.4231280239523046e-04	-1.6760358561287018e-05	1.7545963324357874e-01	-3.4505812996465853e-05
0.0025	3.2460232519074217e-01	3.3929054504396772e-01	-1.4688219853225576e-02	3.3978649690316165e-01	1.2756778094115656e-04	-1.6452467678561128e-05	1.7698938244859666e-01	-3.3487284110558247e-05
0.0026	3.3062001583378836e-01	3.4445634436833894e-01	-1.3836328534550579e-02	3.4120422194051725e-01	7.6540993227842727e-05	-6.4690325157936865e-06	1.7914633645144476e-01	-1.7880112722291335e-05
0.0027	3.3504794292692169e-01	3.4761752694801007e-01	-1.2569584021088348e-02	3.4255023761967235e-01	9.3558352526872495e-05	-6.4240728684345612e-06	1.8009355548454919e-01	-2.4098361579442049e-05
0.0028	3.3838998780707369e-01	3.4979061970016967e-01	-1.1400631893095953e-02	3.4219485328758542e-01	1.3321318527959177e-04	-1.0480214855233321e-05	1.8059562579663280e-01	-4.4210241113569525e-05
0.0029	3.4156248323820548e-01	3.5223273555220214e-01	-1.0670252313996625e-02	3.4202521983242162e-01	1.2814838989340317e-04	-9.1780438940056084e-06	1.8145149393309937e-01	-4.6322653611057585e-05
0.003	3.4414397545741843e-01	3.5417194687727921e-01	-1.0027971419860782e-02	3.4224209447995085e-01	1.1276219687714034e-04	-9.5289983845980771e-06	1.8209995914857000e-01	-4.0891074744774320e-05
0.0031	3.4770170844955822e-01	3.5685486871938121e-01	-9.1531602698229630e-03	3.4256571299850780e-01	8.3434482732153067e-05	-6.0721601772722406e-06	1.8300401449460207e-01	-3.3947562955920025e-05
0.0032	3.5236060806908792e-01	3.6074217336168279e-01	-8.3815652925948725e-03	3.4327216375195069e-01	1.3345249799345859e-04	-1.2610965097060072e-05	1.8456186932713883e-01	-5.3105994526425372e-05
0.0033	3.5671118041054845e-01	3.6420294937196096e-01	-7.4917689614124872e-03	3.4349842202000236e-01	9.6006916383494439e-05	-7.3060339204096804e-06	1.8584735916668671e-01	-3.4272255932674277e-05
0.0034	3.5976465755692111e-01	3.6668623948919532e-01	-6.9215819322742123e-03	3.4387036037204027e-01	1.3226201686898444e-04	-1.2101439207851296e-05	1.8680391071073477e-01	-5.4270422903123078e-05
0.0035	3.6331495691984578e-01	3.6959648288857111e-01	-6.2815259687253322e-03	3.4434801351127481e-01	7.4801153255958587e-05	-1.2912367443548271e-06	1.8793900442864822e-01	-3.3243816777406289e-05
0.0036	3.6664387391928044e-01	3.7217693974496613e-01	-5.5330658256856624e-03	3.4385000611538791e-01	1.0538648049917379e-04	-8.9360687771090085e-06	1.8885500278532588e-01	-4.4974696272735933e-05
0.0037	3.6944516962737023e-01	3.7442936015613160e-01	-4.9841905287613952e-03	3.4271319265333300e-01	8.1871954502026588e-05	-7.8401192467317969e-06	1.8970677534244651e-01	-2.8612588335633165e-05
0.0038	3.7242236851261018e-01	3.7654516131416510e-01	-4.1227928015549198e-03	3.4258426327501990e-01	1.1602051151737261e-04	-1.0098021094855367e-05	1.9033397705786001e-01	-5.1723781810082743e-05
0.0039	3.7513740187742606e-01	3.7827072723480087e-01	-3.1333253573748165e-03	3.4178483378479435e-01	1.0567456212722844e-04	-9.5877300798692897e-06	1.9070202629608785e-01	-4.0205014624223801e-05
0.004	3.7832455257706232e-01	3.8052102652531844e-01	-2.1964739482561169e-03	3.4091926062318867e-01	7.3974710329846220e-05	-3.6030299633980996e-06	1.9135875023678728e-01	-3.1079389745392804e-05
0.0041	3.8103417605033868e-01	3.8243645777413415e-01	-1.4022817237955010e-03	3.4043401541301632e-01	5.6549986017032288e-05	-1.5494718618688966e-06	1.9191936974896484e-01	-2.2865296534430707e-05
0.0042	3.8366968727961637e-01	3.8438336546256302e-01	-7.1367818294665319e-04	3.4034349240341794e-01	6.5255301542240285e-05	-5.4721530622176943e-06	1.9254852182275484e-01	-2.5119351506585823e-05
0.0043	3.8614630025908520e-01	3.8607589381154828e-01	7.0406447536919270e-05	3.4060187685324983e-01	4.0766493159798706e-05	-3.5150574905050652e-06	1.9300274368200568e-01	-1.9785526400742329e-05
0.0044	3.8986679172617356e-01	3.8887541283204191e-01	9.9137889413164482e-04	3.4056336509106960e-01	4.5240729546958239e-05	-1.1919819033825699e-06	1.9394201696895513e-01	-1.8188871318558526e-05
0.0045	3.9298839806588187e-01	3.9084988461505565e-01	2.1385134508262460e-03	3.4096703152673108e-01	6.4920077827950934e-05	-5.8057630679768267e-06	1.9435568558211469e-01	-2.5035848130191112e-05
0.0046	3.9619701760452175e-01	3.9288814519286430e-01	3.3088724116574486e-03	3.4051892180270238e-01	1.4217772440358768e-05	2.7727693821479437e-06	1.9478963639060343e-01	2.9771201769266491e-06
0.0047	3.9845513912767794e-01	3.9402754056284672e-01	4.4275985648312421e-03	3.3996242067233551e-01	4.9128061331533789e-06	2.5799042334972309e-06	1.9479997099900773e-01	-8.6776149838882356e-07
0.0048	4.0082543781634089e-01	3.9539063601357721e-01	5.4348018027636780e-03	3.3937290642238344e-01	3.0521039833456751e-08	2.9788233863708510e-06	1.9497791710540677e-01	7.3177638161044803e-06
0.0049	4.0274518632663453e-01	3.9638079997961695e-01	6.3643863470175810e-03	3.3869585637381922e-01	-4.1500881915423400e-05	7.7060183899916665e-06	1.9500820681629968e-01	3.1075152966998419e-05
0.005	4.0411254410844105e-01	3.9723116400544167e-01	6.8813801029993515e-03	3.3840156992779552e-01	-5.5461922678896689e-05	9.9462552490581714e-06	1.9517489195122117e-01	4.2295346891939701e-05
